### NIRSPEC Brown Dwarf Spectroscopic Survey (BDSS)
### McLean et al. 2007, ApJ, 658. 1217
### Please cite the above reference if you use  
### or display this data in your publication.
###     2MASS 0559 -- NIRSPEC-3 Filter, dispersion order 59
### lambda (microns)   Flambda (Normalized)
       1.2946695      0.85042932
       1.2946880      0.84366802
       1.2947063      0.85537213
       1.2947248      0.85074795
       1.2947433      0.84525637
       1.2947618      0.86190459
       1.2947802      0.85182353
       1.2947987      0.86060793
       1.2948172      0.84953079
       1.2948356      0.88063604
       1.2948540      0.87720138
       1.2948725      0.88156473
       1.2948911      0.87593848
       1.2949096      0.90051094
       1.2949280      0.87679344
       1.2949465      0.88720322
       1.2949649      0.88795937
       1.2949834      0.89499388
       1.2950018      0.89695856
       1.2950203      0.89913611
       1.2950388      0.89527108
       1.2950573      0.91165468
       1.2950757      0.92393652
       1.2950941      0.91938163
       1.2951126      0.93414802
       1.2951311      0.91960507
       1.2951495      0.93566731
       1.2951680      0.91913577
       1.2951865      0.90697815
       1.2952050      0.92725844
       1.2952233      0.93013772
       1.2952418      0.93192536
       1.2952603      0.92595708
       1.2952788      0.94210898
       1.2952972      0.93319273
       1.2953157      0.93972064
       1.2953342      0.93874326
       1.2953525      0.92537646
       1.2953710      0.92020652
       1.2953895      0.88051921
       1.2954080      0.84985464
       1.2954265      0.81788168
       1.2954449      0.78563461
       1.2954634      0.74293646
       1.2954818      0.73210057
       1.2955002      0.71259784
       1.2955187      0.66541070
       1.2955372      0.62604300
       1.2955557      0.59906064
       1.2955742      0.57501190
       1.2955925      0.55193638
       1.2956110      0.55767492
       1.2956295      0.56988718
       1.2956479      0.59811626
       1.2956664      0.64772914
       1.2956849      0.71155826
       1.2957034      0.77217677
       1.2957217      0.83405210
       1.2957402      0.87230112
       1.2957587      0.86230206
       1.2957772      0.86317301
       1.2957956      0.85960853
       1.2958141      0.85876350
       1.2958326      0.84447210
       1.2958510      0.82878925
       1.2958694      0.82977110
       1.2958879      0.83918861
       1.2959064      0.84043974
       1.2959249      0.86912990
       1.2959433      0.88077339
       1.2959618      0.89199682
       1.2959802      0.90307082
       1.2959987      0.90208872
       1.2960171      0.88743299
       1.2960356      0.85214021
       1.2960541      0.86161224
       1.2960726      0.77144891
       1.2960910      0.73836968
       1.2961094      0.70755551
       1.2961279      0.69605199
       1.2961464      0.72389727
       1.2961648      0.76017269
       1.2961833      0.81136674
       1.2962018      0.82832138
       1.2962204      0.85930065
       1.2962387      0.91423010
       1.2962572      0.90848289
       1.2962757      0.92021319
       1.2962942      0.91832416
       1.2963126      0.88314553
       1.2963311      0.85320199
       1.2963495      0.83384946
       1.2963680      0.81047582
       1.2963864      0.78857123
       1.2964049      0.81031055
       1.2964234      0.82521492
       1.2964419      0.86171334
       1.2964603      0.87245829
       1.2964787      0.88607413
       1.2964972      0.88564766
       1.2965157      0.85929387
       1.2965341      0.87057155
       1.2965526      0.85587333
       1.2965711      0.84985059
       1.2965896      0.85233613
       1.2966079      0.85447083
       1.2966264      0.87440215
       1.2966449      0.86294682
       1.2966634      0.86919084
       1.2966818      0.85353405
       1.2967003      0.82040788
       1.2967188      0.77440504
       1.2967371      0.70268184
       1.2967556      0.66646638
       1.2967741      0.65391299
       1.2967926      0.66544847
       1.2968111      0.68853255
       1.2968295      0.70675706
       1.2968480      0.71415351
       1.2968664      0.70099788
       1.2968848      0.70107006
       1.2969033      0.69983717
       1.2969218      0.72728434
       1.2969403      0.75868215
       1.2969588      0.78570793
       1.2969772      0.82950235
       1.2969956      0.85014988
       1.2970141      0.86105681
       1.2970325      0.86574810
       1.2970510      0.84211763
       1.2970695      0.87306616
       1.2970880      0.88354891
       1.2971063      0.88959811
       1.2971248      0.88421189
       1.2971433      0.84893862
       1.2971618      0.83486905
       1.2971802      0.78543334
       1.2971987      0.70245025
       1.2972172      0.65222314
       1.2972356      0.62411831
       1.2972540      0.63119894
       1.2972725      0.66375737
       1.2972910      0.70025393
       1.2973095      0.71789664
       1.2973279      0.74877847
       1.2973464      0.74630982
       1.2973648      0.71915560
       1.2973833      0.71197119
       1.2974017      0.70769798
       1.2974202      0.73089617
       1.2974387      0.76758901
       1.2974572      0.80947363
       1.2974756      0.83050620
       1.2974940      0.84456373
       1.2975125      0.87055525
       1.2975310      0.88688455
       1.2975495      0.89658496
       1.2975680      0.89992240
       1.2975865      0.93199856
       1.2976050      0.90901450
       1.2976233      0.91278360
       1.2976418      0.89628886
       1.2976603      0.91024800
       1.2976788      0.90624717
       1.2976972      0.90410432
       1.2977157      0.92386775
       1.2977342      0.93184074
       1.2977525      0.93416404
       1.2977710      0.92612794
       1.2977895      0.94810617
       1.2978080      0.96067811
       1.2978265      0.95671524
       1.2978449      0.95642103
       1.2978633      0.94665966
       1.2978818      0.93983198
       1.2979002      0.94069458
       1.2979187      0.91689509
       1.2979372      0.92602471
       1.2979557      0.91889651
       1.2979742      0.91367607
       1.2979925      0.90501439
       1.2980110      0.90893687
       1.2980295      0.89954424
       1.2980479      0.90530924
       1.2980664      0.92787489
       1.2980849      0.91310111
       1.2981034      0.91030870
       1.2981217      0.87797004
       1.2981402      0.85981223
       1.2981587      0.88416308
       1.2981772      0.90331224
       1.2981956      0.90835374
       1.2982141      0.93066837
       1.2982326      0.92702858
       1.2982510      0.92053247
       1.2982694      0.93945564
       1.2982879      0.98098395
       1.2983064      0.97139536
       1.2983249      0.96894227
       1.2983433      0.95635486
       1.2983618      0.95078471
       1.2983802      0.94138437
       1.2983987      0.95012996
       1.2984171      0.94185232
       1.2984356      0.92564793
       1.2984541      0.92071272
       1.2984726      0.93255779
       1.2984910      0.92043903
       1.2985094      0.91502856
       1.2985279      0.91726295
       1.2985464      0.93806079
       1.2985648      0.93380837
       1.2985833      0.94364542
       1.2986018      0.95141719
       1.2986202      0.92969560
       1.2986386      0.92089963
       1.2986571      0.96723666
       1.2986756      0.95234127
       1.2986941      0.93250283
       1.2987125      0.92226461
       1.2987310      0.91094185
       1.2987494      0.90077219
       1.2987679      0.86860504
       1.2987863      0.86056422
       1.2988048      0.86171048
       1.2988233      0.87112126
       1.2988418      0.88639860
       1.2988602      0.88397477
       1.2988787      0.90600776
       1.2988972      0.91168545
       1.2989157      0.93504243
       1.2989341      0.94776526
       1.2989526      0.95342538
       1.2989711      0.95670574
       1.2989896      0.95242349
       1.2990079      0.97394621
       1.2990264      0.94881102
       1.2990449      0.92326324
       1.2990634      0.91656993
       1.2990818      0.89854586
       1.2991003      0.85838889
       1.2991188      0.79902463
       1.2991371      0.73734746
       1.2991556      0.69732468
       1.2991741      0.68685065
       1.2991926      0.70007535
       1.2992111      0.74525454
       1.2992295      0.78515879
       1.2992480      0.84019481
       1.2992664      0.89530137
       1.2992848      0.90754145
       1.2993033      0.88671267
       1.2993218      0.87530247
       1.2993403      0.84556275
       1.2993588      0.80430624
       1.2993771      0.73589160
       1.2993956      0.66700744
       1.2994141      0.64838085
       1.2994325      0.65759081
       1.2994510      0.65154090
       1.2994695      0.72384496
       1.2994880      0.77216185
       1.2995063      0.76242291
       1.2995248      0.78278703
       1.2995433      0.81783038
       1.2995618      0.81177154
       1.2995802      0.83001651
       1.2995987      0.84851756
       1.2996172      0.83957330
       1.2996356      0.80163516
       1.2996540      0.75264308
       1.2996725      0.68975803
       1.2996910      0.66813768
       1.2997095      0.68276961
       1.2997279      0.72072600
       1.2997464      0.77084625
       1.2997648      0.82902790
       1.2997833      0.87474989
       1.2998017      0.90610301
       1.2998202      0.92861353
       1.2998387      0.92728271
       1.2998572      0.92470350
       1.2998756      0.94819837
       1.2998940      0.95992554
       1.2999125      0.98194669
       1.2999310      0.95853384
       1.2999494      0.99014912
       1.2999679      0.97961549
       1.2999864      0.98422289
       1.3000049       1.0105562
       1.3000232       1.0073966
       1.3000417      0.98499338
       1.3000602      0.95021106
       1.3000787      0.96682439
       1.3000971      0.96417548
       1.3001156      0.93737132
       1.3001340      0.94915912
       1.3001525      0.93020395
       1.3001709      0.91948244
       1.3001894      0.90123366
       1.3002080      0.90147972
       1.3002265      0.87064354
       1.3002449      0.85686938
       1.3002633      0.83864912
       1.3002818      0.80873718
       1.3003003      0.77297886
       1.3003187      0.75903730
       1.3003372      0.72799882
       1.3003557      0.68298562
       1.3003742      0.64608274
       1.3003925      0.66353984
       1.3004110      0.69754605
       1.3004295      0.73930417
       1.3004480      0.78362564
       1.3004664      0.80084542
       1.3004849      0.79711453
       1.3005034      0.77100393
       1.3005217      0.74572914
       1.3005402      0.72314342
       1.3005587      0.73308648
       1.3005772      0.73947662
       1.3005957      0.74358157
       1.3006141      0.78776599
       1.3006326      0.81913285
